Canadian Interest Rates,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Daily series: 2015-06-01 - 2024-06-03,,,,,,,,,,,,,,
V39079 = Target for the overnight rate,,,,,,,,,,,,,,
V39078 = Bank rate,,,,,,,,,,,,,,
Canadian Overnight Repo Rate Average (CORRA) (%) = Canadian Overnight Repo Rate Average (CORRA) (%),,,,,,,,,,,,,,
V39068 = Bankers' acceptances - 1 Month,,,,,,,,,,,,,,
V39071 = Bankers' acceptances - 3 month,,,,,,,,,,,,,,
V39072 = Prime Corporate Paper Rate - 1 Month,,,,,,,,,,,,,,
V39074 = Prime Corporate Paper Rate - 3 Month,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Summary,Date,V39079,Date,V39078,Date,Canadian Overnight Repo Rate Average (CORRA) (%),Date,V39068,Date,V39071,Date,V39072,Date,V39074
Low,2022-03-02,0.25,2022-03-02,0.5,2021-12-13,0.05,2015-07-20,0.65,2016-01-19,0.65,2015-09-04,0.61,2015-09-04,0.61
High,2024-06-03,5,2024-06-03,5.25,2024-01-31,5.07,2018-12-31,2.25,2018-12-31,2.24,2018-12-28,2.24,2018-12-31,2.21
Average,2015-06-01 - 2024-06-03,1.58,2015-06-01 - 2024-06-03,1.81,2015-06-01 - 2024-06-03,1.5697,2015-06-01 - 2019-01-01,1.12,2015-06-01 - 2019-01-01,1.17,2015-06-01 - 2019-01-01,1.09,2015-06-01 - 2019-01-01,1.14
,,,,,,,,,,,,,,
Date,V39079,V39078,Canadian Overnight Repo Rate Average (CORRA) (%),V39068,V39071,V39072,V39074,,,,,,,
2015-08-18,0.5,0.75,0.5265,0.67,0.68,0.61,0.61,,,,,,,
2015-08-19,0.5,0.75,0.507,0.68,0.68,0.61,0.61,,,,,,,
2015-08-20,0.5,0.75,0.5198,0.68,0.68,0.61,0.61,,,,,,,
2015-08-21,0.5,0.75,0.5164,0.68,0.68,0.61,0.61,,,,,,,
2015-08-24,0.5,0.75,0.5089,0.68,0.67,0.61,0.61,,,,,,,
2015-08-25,0.5,0.75,0.5215,0.67,0.67,0.61,0.61,,,,,,,
2015-08-26,0.5,0.75,0.5181,0.67,0.68,0.61,0.61,,,,,,,
2015-08-27,0.5,0.75,0.5661,0.67,0.68,0.61,0.61,,,,,,,
2015-08-28,0.5,0.75,0.5903,0.69,0.68,0.61,0.61,,,,,,,
2015-08-31,0.5,0.75,0.5956,0.68,0.68,0.61,0.61,,,,,,,
2015-09-01,0.5,0.75,0.5269,0.68,0.68,0.61,0.61,,,,,,,
2015-09-02,0.5,0.75,0.5272,0.68,0.68,0.61,0.61,,,,,,,
2015-09-03,0.5,0.75,0.5125,0.68,0.68,0.61,0.61,,,,,,,
2015-09-04,0.5,0.75,0.5167,0.68,0.68,0.61,0.61,,,,,,,
2015-09-07,0.5,0.75, Bank holiday, Bank holiday, Bank holiday, Bank holiday, Bank holiday,,,,,,,
2015-09-08,0.5,0.75,0.512,0.69,0.68,0.63,0.63,,,,,,,
2015-09-09,0.5,0.75,0.4803,0.69,0.68,0.63,0.63,,,,,,,
2015-09-10,0.5,0.75,0.509,0.7,0.7,0.64,0.64,,,,,,,
2015-09-11,0.5,0.75,0.4911,0.7,0.71,0.64,0.64,,,,,,,
2015-09-14,0.5,0.75,0.4983,0.71,0.72,0.64,0.64,,,,,,,
2015-09-15,0.5,0.75,0.5077,0.71,0.72,0.66,0.66,,,,,,,
2015-09-16,0.5,0.75,0.4535,0.72,0.73,0.66,0.66,,,,,,,
2015-09-17,0.5,0.75,0.4936,0.73,0.73,0.66,0.66,,,,,,,
2015-09-18,0.5,0.75,0.4999,0.73,0.72,0.66,0.66,,,,,,,
2015-09-21,0.5,0.75,0.4764,0.72,0.73,0.66,0.66,,,,,,,
2015-09-22,0.5,0.75,0.4888,0.73,0.73,0.66,0.66,,,,,,,
2015-09-23,0.5,0.75,0.4704,0.72,0.72,0.66,0.66,,,,,,,
2015-09-24,0.5,0.75,0.502,0.72,0.73,0.69,0.69,,,,,,,
2015-09-25,0.5,0.75,0.5051,0.73,0.73,0.69,0.69,,,,,,,
2015-09-28,0.5,0.75,0.4797,0.73,0.73,0.69,0.69,,,,,,,
2015-09-29,0.5,0.75,0.4965,0.73,0.73,0.69,0.69,,,,,,,
2015-09-30,0.5,0.75,0.542,0.73,0.74,0.69,0.69,,,,,,,
2015-10-01,0.5,0.75,0.5279,0.73,0.74,0.69,0.69,,,,,,,
2015-10-02,0.5,0.75,0.5287,0.74,0.74,0.69,0.7,,,,,,,
2015-10-05,0.5,0.75,0.5028,0.73,0.74,0.69,0.7,,,,,,,
2015-10-06,0.5,0.75,0.4955,0.73,0.74,0.69,0.7,,,,,,,
2015-10-07,0.5,0.75,0.4917,0.73,0.74,0.69,0.7,,,,,,,
2015-10-08,0.5,0.75,0.5045,0.73,0.73,0.69,0.7,,,,,,,
2015-10-09,0.5,0.75,0.5121,0.73,0.73,0.69,0.7,,,,,,,
2015-10-12,0.5,0.75, Bank holiday, Bank holiday, Bank holiday, Bank holiday, Bank holiday,,,,,,,
2015-10-13,0.5,0.75,0.5084,0.73,0.74,0.69,0.7,,,,,,,
2015-10-14,0.5,0.75,0.4939,0.74,0.74,0.69,0.7,,,,,,,
2015-10-15,0.5,0.75,0.5074,0.74,0.74,0.69,0.7,,,,,,,
2015-10-16,0.5,0.75,0.4953,0.74,0.74,0.69,0.7,,,,,,,
2015-10-19,0.5,0.75,0.4974,0.74,0.74,0.69,0.7,,,,,,,
2015-10-20,0.5,0.75,0.478,0.75,0.75,0.69,0.7,,,,,,,
2015-10-21,0.5,0.75,0.4726,0.76,0.76,0.73,0.73,,,,,,,
2015-10-22,0.5,0.75,0.4999,0.76,0.76,0.73,0.73,,,,,,,
2015-10-23,0.5,0.75,0.4985,0.76,0.76,0.73,0.73,,,,,,,
2015-10-26,0.5,0.75,0.5097,0.77,0.78,0.73,0.73,,,,,,,
2015-10-27,0.5,0.75,0.5243,0.79,0.79,0.74,0.74,,,,,,,
2015-10-28,0.5,0.75,0.5296,0.8,0.8,0.74,0.75,,,,,,,
2015-10-29,0.5,0.75,0.522,0.8,0.8,0.74,0.75,,,,,,,
2015-10-30,0.5,0.75,0.526,0.8,0.79,0.77,0.76,,,,,,,
2015-11-02,0.5,0.75,0.5268,0.77,0.79,0.74,0.76,,,,,,,
2015-11-03,0.5,0.75,0.4942,0.77,0.77,0.74,0.76,,,,,,,
2015-11-04,0.5,0.75,0.4737,0.76,0.76,0.74,0.75,,,,,,,
2015-11-05,0.5,0.75,0.4973,0.76,0.76,0.74,0.75,,,,,,,
2015-11-06,0.5,0.75,0.4933,0.74,0.76,0.74,0.75,,,,,,,
